compound_id,molecular_weight,logP,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,logS,dose_mg,particle_size_um,ph_stability,formulation_type,bioavailability_percent
CMPD-1124,254.27,1.86,72.56,3,10,3,2,-3.68,200,29.17,4.24,suspension,59.28
CMPD-1125,559.68,2.25,99.12,2,7,6,5,-2.13,200,16.06,8.19,tablet,42.89
CMPD-1126,253.9,3.83,51.07,1,3,7,3,-3.11,10,12.24,6.39,capsule,55.57
CMPD-1127,413.29,-0.94,65.42,1,2,2,3,-3.33,400,6.15,5.24,solution,31.47
CMPD-1128,297.03,4.87,74.5,2,6,4,2,-2.28,400,25.01,6.88,solution,39.87
CMPD-1129,372.94,2.63,80.24,5,4,3,3,-3.65,50,100.91,6.63,suspension,51.91
CMPD-1130,416.16,1.76,78.42,4,4,5,1,-4,10,18.22,5.4,tablet,48.32
CMPD-1131,415.35,2.34,90.26,1,5,7,1,-3.5,25,36.61,5.42,capsule,55.09
CMPD-1132,426.41,2.43,104.53,0,4,5,3,-2.24,50,24.96,7.83,capsule,62.53
CMPD-1133,557.51,-0.62,88.74,0,5,4,2,-4.91,100,11.36,6.75,capsule,15.54
CMPD-1134,429.89,5.19,90.88,5,3,5,1,-2.11,50,55.57,5.72,suspension,33.56
CMPD-1135,353.14,2.57,19.62,4,6,7,1,-3.4,400,46.72,6.04,tablet,46.52
CMPD-1136,486.05,3.3,76.76,2,5,6,1,-4.08,200,46.93,6.06,solution,56.31
CMPD-1137,510.84,4.21,91.78,2,2,3,2,-3.23,5,21.94,4.49,capsule,43.41
CMPD-1138,244.96,0.66,100.51,4,2,6,2,-1.74,5,51.36,7.63,capsule,53.31
CMPD-1139,445.71,3.35,50.77,3,5,5,1,-1.75,5,35.95,6.06,tablet,43.01
CMPD-1140,457.13,2.02,51.93,6,5,4,3,-2.91,50,61.5,6.31,capsule,39.58
CMPD-1141,347.27,4.02,54.91,0,5,2,3,-2.56,5,27.53,7.17,solution,65.92
CMPD-1142,531.33,-1.33,93.77,3,8,5,2,-3.44,5,9.71,7.99,capsule,1
CMPD-1143,363.49,2.32,111.19,1,9,5,2,-4.38,200,15.54,6.74,solution,60.81
CMPD-1144,393.81,1.41,60.74,1,7,5,2,-2.83,10,26.87,5.19,tablet,57.33
CMPD-1145,360.96,3.28,106.78,1,5,3,2,-4.17,5,17.15,6.2,tablet,53.24
CMPD-1146,381.71,3.35,79.32,5,4,6,3,-5.04,10,22.09,6.42,tablet,39.91
CMPD-1147,259.41,1.23,70.65,6,6,5,5,-4.13,25,93.19,4.3,capsule,36.59
CMPD-1148,221.59,1.22,67.6,1,2,5,2,-5.96,50,32.59,7.07,solution,59.48
CMPD-1149,555.4,2.3,101.13,2,2,6,2,-5.36,10,31.84,7.29,solution,52.36
CMPD-1150,286.83,0.89,86.4,0,6,5,1,-0.46,400,27.71,6.61,tablet,50.96
CMPD-1151,270.95,4.02,154.65,0,7,6,0,-1.81,200,5.89,5.5,capsule,52.12
CMPD-1152,143.13,1.84,45.17,4,5,2,2,-3.86,50,32.36,6.75,tablet,62.69
CMPD-1153,309.71,-2,93.13,2,1,12,0,-2.72,400,26.89,7.73,capsule,1
CMPD-1154,234.46,1.83,56.48,1,6,7,3,-4.93,400,21.19,6.24,tablet,45.41
CMPD-1155,560.62,0.63,44.57,2,4,4,3,-2.51,50,9.53,7.46,solution,50.03
CMPD-1156,491.08,-0.44,74.62,0,3,5,2,-3.11,100,30.92,7.02,tablet,26.03
CMPD-1157,304.3,0.27,79.81,0,1,7,0,-4.56,10,25.9,4.23,tablet,36.29
CMPD-1158,627.77,2.7,177.14,2,7,1,3,-3.98,5,6.72,5.88,solution,39.05
CMPD-1159,487.99,4.89,68.55,2,2,5,3,-4.09,400,56.11,7.13,tablet,29.13
CMPD-1160,344.27,3.06,35.44,0,7,6,3,-2.22,200,23.11,6.66,tablet,50.58
CMPD-1161,120,1.41,84.56,2,8,5,2,-3.62,200,5.13,7.63,solution,61
CMPD-1162,632,3.32,10,1,6,2,2,-5.87,100,32.1,6.78,tablet,39.6
CMPD-1163,227.15,1.67,71.78,3,3,5,2,-4.17,10,16.16,7.28,tablet,59.82
CMPD-1164,199.01,1.25,75.56,4,2,2,0,-4.67,200,7.66,6.1,solution,48.93
CMPD-1165,492.48,0.42,102.81,4,5,4,2,-5.72,10,11.94,6.9,suspension,28.58
CMPD-1166,648.37,-0.65,109.08,2,6,5,0,-4.64,25,41.1,5.27,solution,15.02
CMPD-1167,532.27,1.8,57.38,4,0,6,2,-6.74,5,14.16,7.54,tablet,30.55
CMPD-1168,442.03,2.78,69.73,4,4,3,2,-4.9,25,13.13,6.83,solution,57.48
CMPD-1169,445.42,2.33,48.19,2,5,6,4,-3.21,50,37.66,5.04,capsule,45.02
CMPD-1170,473.88,1.75,35.52,2,5,6,2,-2.82,5,63,6.23,solution,61.45
CMPD-1171,463.48,0.8,85.85,0,4,3,2,-2.74,25,60.59,9,tablet,53.43
CMPD-1172,410.93,3.59,30.42,4,4,4,2,-2.06,25,28.57,6.27,tablet,57.62
CMPD-1173,391.46,0.13,60.49,3,2,4,0,-1.72,400,20.17,6.13,suspension,40.74
CMPD-1174,373.11,3.9,40.17,2,1,7,3,-5.04,400,32.55,5.59,suspension,51.95
CMPD-1175,297.06,0.7,94.24,3,3,4,3,-5.56,5,20.53,5.21,tablet,51.48
CMPD-1176,349.13,1.15,138.05,3,6,7,2,-3.44,10,6.5,5.33,tablet,42.96
CMPD-1177,193.77,-0.14,29.44,2,2,5,1,-2.68,50,24.81,8.92,suspension,39.27
CMPD-1178,369.18,1.6,10.14,6,2,2,4,-4.75,100,38.89,6.94,tablet,48.55
CMPD-1179,271.25,4.26,70.63,1,1,6,2,-3.1,200,26.71,4.8,tablet,40.83
CMPD-1180,258.61,3.43,75.55,2,3,5,1,-0.77,100,49.84,6.52,tablet,68.18
CMPD-1181,399.79,4.26,82.65,2,5,3,3,-5.5,100,4.87,7.73,tablet,38.95
CMPD-1182,533.12,3.44,59.38,2,6,2,1,-3.49,50,63.37,7.01,tablet,42.74
CMPD-1183,481.01,0.51,67.98,3,5,8,2,-1.94,5,44.26,4.85,suspension,44.28
CMPD-1184,207.24,1.9,87.86,2,4,1,1,-3.8,5,65.78,7.28,tablet,50.87
CMPD-1185,271.14,1.1,111.42,3,10,5,1,-2.88,400,49.27,6.54,tablet,39.83
CMPD-1186,483.48,4.9,10,1,0,4,3,-2.13,5,32.35,6.76,tablet,46.31
CMPD-1187,271.93,0.35,62.09,1,5,6,0,-3.95,100,35.76,8.72,tablet,50.21
CMPD-1188,355.29,4.11,82.48,0,7,3,1,-5.09,10,42.18,6.48,tablet,35.9
CMPD-1189,440.51,4.11,42.87,6,2,5,1,-3.65,25,19.1,5.66,suspension,48.39
CMPD-1190,273.48,5.79,135.59,2,4,3,2,-5.14,400,10.61,4.42,tablet,7.07
CMPD-1191,391.59,1.76,52.76,6,3,7,3,-4.33,100,13.16,5.67,suspension,57.18
CMPD-1192,233.26,3.78,73.55,2,7,5,2,-2.84,50,19.87,5.6,capsule,46.46
CMPD-1193,313.85,6.61,94.46,1,5,7,3,-3.23,5,24.55,4.21,capsule,1
CMPD-1194,415.18,1.39,54.31,1,3,6,2,-2,400,67.45,7.31,tablet,56.03
CMPD-1195,204.77,-0.26,10.37,0,2,8,3,-3.15,25,24.19,7.11,tablet,41.15
CMPD-1196,428.45,-0.88,60,2,4,6,1,-4.67,5,9.89,6.47,tablet,20.28
CMPD-1197,377.84,3.78,111.03,2,6,4,1,-5,5,20.27,5.3,capsule,48.65
CMPD-1198,440.77,-0.89,63.21,5,2,4,1,-2.56,5,28.69,6.8,tablet,20.14
CMPD-1199,404.63,1.83,45.37,1,4,2,3,-3.14,200,43.26,7.25,capsule,62.53
CMPD-1200,530.06,3.29,107.4,1,7,2,3,-3.79,400,9.1,8.62,solution,37.88
CMPD-1201,393.77,2.83,63.42,2,2,5,2,-2.99,10,9.45,6.92,capsule,60.79
CMPD-1202,332.77,3.27,57.14,2,5,2,0,-4.56,400,54.46,7.05,tablet,46.92
CMPD-1203,393.45,2.9,80.23,2,8,1,1,-7.17,25,16.24,6.7,tablet,50.25
CMPD-1204,439.76,4.8,101.98,0,1,4,2,-1.94,400,21.33,6.27,solution,36.28
CMPD-1205,385.37,0.79,158.36,3,4,6,2,-2.53,400,32.72,7.44,tablet,32.48
CMPD-1206,384.47,1.28,103.95,3,6,6,2,-3.63,400,31.63,6.44,tablet,32.49
CMPD-1207,302.78,1.11,115.59,3,4,9,0,-4.85,100,14,6.32,tablet,40.91
CMPD-1208,307.08,3.99,57.29,1,4,3,3,-3.82,10,32.88,6.06,capsule,53.9
CMPD-1209,225.71,4.12,39.09,3,2,9,3,-6.09,200,30.7,6.15,tablet,38.32
CMPD-1210,572.45,3.31,77.18,1,4,6,2,-3.33,50,53.05,6.9,capsule,51.46
CMPD-1211,243.18,4.63,78.75,2,5,11,1,-6.4,400,27.95,7.25,capsule,33.64
CMPD-1212,303.78,0.38,37.25,2,3,5,4,-3.34,200,27.36,5.64,capsule,47.12
CMPD-1213,300.98,5.5,68.86,1,6,2,2,-4.56,50,58.02,6.75,solution,26.74
CMPD-1214,478.44,5.24,88.98,5,2,7,4,-3.72,200,15.61,5.43,capsule,17.98
CMPD-1215,347.56,3.82,87.61,1,4,2,1,-5.21,100,12.07,7.26,tablet,50.26
CMPD-1216,517.25,5.71,92.65,2,6,2,2,-1.24,25,37.21,8.27,tablet,24.88
CMPD-1217,305.92,-0.48,85.18,1,3,5,2,-2.96,100,16,7.16,tablet,28.44
CMPD-1218,410.69,1.56,57.25,4,5,7,0,-4.53,10,9.02,6.12,capsule,51.16
CMPD-1219,288.11,1.18,57.01,2,5,4,1,-3.77,25,24.28,7.73,tablet,54.3
CMPD-1220,615.97,3.8,33.04,1,1,6,2,-1.09,400,46.99,5.02,tablet,54.93
CMPD-1221,249.36,0.61,137.47,1,5,6,5,-4.92,400,59.5,6.86,tablet,35.23
CMPD-1222,414.08,3.86,75.47,1,6,2,4,-5.17,50,44.77,9,tablet,36.33
CMPD-1223,449.72,4.97,67.13,3,2,10,4,-5.23,25,26.32,5.45,tablet,32.94
CMPD-1224,425.52,3.75,42.49,1,3,4,2,-4.52,25,30.11,6.11,tablet,52.51
CMPD-1225,359.62,3.01,177.75,1,0,4,3,-1.26,25,34.09,6.24,tablet,61.04
CMPD-1226,365.72,0.72,37.43,3,2,4,1,-4.34,100,45.8,5.16,capsule,48.41
CMPD-1227,384.82,0.98,59.99,3,5,3,4,-4.13,5,20.89,5.6,capsule,43.62
CMPD-1228,363.83,4.75,89.55,2,3,3,3,-3.2,10,13.39,6.54,tablet,44.96
CMPD-1229,486.03,3.9,96.01,0,3,7,2,-3.55,25,19.02,8.43,capsule,44.57
CMPD-1230,623.16,2.43,108.53,1,5,7,1,-2.05,25,12,7.08,tablet,44.36
CMPD-1231,318.68,1.75,138.27,2,5,7,2,-2.27,100,17.84,7.84,tablet,43.1
CMPD-1232,229.32,-1.15,92.72,1,8,3,4,-3.01,10,70.07,7.5,tablet,2.57
CMPD-1233,370.29,0.57,38.04,0,3,5,3,-3.84,10,10.49,6.92,tablet,50.92
CMPD-1234,663.77,5.94,66.01,0,4,7,2,-2.06,400,10.2,4.35,solution,15.17
CMPD-1235,291.6,0.2,85.77,0,5,7,2,-4.68,50,8.01,8.44,capsule,34.25
CMPD-1236,560.3,2.84,147.39,2,5,4,1,-4.78,10,6.4,7.74,solution,42.53
CMPD-1237,564.55,4.31,26.08,0,6,8,5,-4.11,10,38.05,6.84,tablet,29.85
CMPD-1238,319.11,0.24,117.09,0,2,8,3,-1.76,400,11.75,4.96,solution,56.08
CMPD-1239,442.59,2.83,81.3,5,0,5,2,-4.76,25,8.33,4.75,tablet,56.4
CMPD-1240,559.12,4.19,104.32,3,3,10,2,-4.4,400,36.96,5.06,solution,23.41
CMPD-1241,338.3,2.52,71.43,1,4,6,4,-3.24,5,11.48,5.67,capsule,60.31
CMPD-1242,357.61,7.66,45.51,0,4,9,3,-3.58,25,72.42,6.94,capsule,1
CMPD-1243,316.02,-0.5,101.28,2,4,8,1,-4.07,200,39.52,6.2,tablet,26.1
CMPD-1244,268.38,4.41,97.91,0,4,6,2,-2.8,100,31.57,6.61,capsule,57.15
CMPD-1245,308.58,2.19,109.02,1,5,4,3,-4.21,10,3.93,7.16,capsule,59.33
CMPD-1246,245.37,3.89,74.53,1,6,2,1,-1.92,5,41.46,8.07,capsule,51.43
CMPD-1247,383.75,3.29,54.01,2,5,3,0,-3.14,25,4.86,5.74,capsule,51.71
CMPD-1248,295.3,1.18,20.44,2,7,1,0,-1.98,200,16.24,4.5,solution,62.33
CMPD-1249,405.72,2.91,103.68,3,3,8,1,-4.69,50,27.67,5.54,tablet,47.23
CMPD-1250,208.85,-0.84,89.84,2,6,7,0,-3.72,100,6.67,7.22,capsule,18.6
CMPD-1251,416.4,3.59,41.2,2,1,5,2,-6.35,200,17.24,7.5,solution,54.67
CMPD-1252,471.69,3.04,56.15,2,0,2,1,-1.49,400,46.81,7.53,solution,65.35
CMPD-1253,160.69,3.65,58.66,0,3,7,1,-0.06,100,26.16,5.67,tablet,64.87
CMPD-1254,421.15,4.4,23.1,2,3,12,0,-3.93,200,22.96,6.89,solution,47.96
CMPD-1255,515.04,3.16,46.38,0,9,5,1,-2.94,100,30.01,8.33,tablet,49.33
CMPD-1256,246.94,2.77,35.32,0,4,3,1,-3.33,25,25.72,7.4,solution,61.48
CMPD-1257,563.98,0.91,60.56,4,3,4,1,-5.44,5,60.91,4.39,tablet,24.17
CMPD-1258,426.09,1.22,49.15,2,3,5,5,-1.63,5,49.5,6.44,capsule,65.55
CMPD-1259,302.45,4.64,18.05,3,8,6,2,-3.91,10,9.19,6.1,tablet,43.9
CMPD-1260,373.87,5.09,145.79,4,2,3,2,-6.57,5,30.73,4.71,capsule,28.92
CMPD-1261,441.42,2.07,118.84,4,2,3,2,-4.57,400,6.59,8.26,tablet,35.84
CMPD-1262,388.36,2.58,47.73,1,5,1,3,-5.59,50,17.99,4.84,solution,58.01
CMPD-1263,439.26,0.87,84.53,3,1,5,1,-3.32,200,24.23,6.38,capsule,42.63
CMPD-1264,278.73,4.61,89.61,1,1,2,1,-3.33,100,94.07,8.07,solution,44.49
CMPD-1265,398.63,3.7,116.69,3,6,4,2,-1.72,400,27.05,5.45,capsule,36.59
CMPD-1266,224.49,5.99,46.35,1,4,2,0,-0.76,25,4.57,6.46,capsule,29.36
CMPD-1267,367.77,0.92,113.22,2,5,7,5,-0.63,100,24.19,7.09,capsule,58.41
CMPD-1268,280.57,1.82,55.82,3,4,3,2,-5.04,100,38.63,5.54,tablet,45.95
CMPD-1269,299.09,2.92,28.24,1,7,9,2,-2.57,50,51.67,5.81,capsule,56.26
CMPD-1270,515.97,3.66,100.34,4,4,6,1,-2.3,200,14.37,6.86,solution,51.46
CMPD-1271,500.04,2.11,120.18,2,6,5,0,-4.29,400,46.82,7.26,solution,47.68
CMPD-1272,447.01,0.93,165.58,0,6,2,4,-3.07,400,13.32,7.44,tablet,38.35
CMPD-1273,259.85,4.09,33.01,1,6,5,0,-2.9,400,80.29,5.34,tablet,44.66
CMPD-1274,345.2,3.8,99.46,0,3,5,2,-4.23,100,12.64,4.55,capsule,50.72
CMPD-1275,513.44,0.85,60.66,1,6,8,4,-1.58,100,5.26,7.52,solution,64.64
CMPD-1276,395.59,4.94,102.42,4,3,2,3,-3.15,50,10.93,8,tablet,30.07
CMPD-1277,635.13,4.61,23.53,2,2,5,2,-3.76,50,12.52,9,tablet,25.31
CMPD-1278,423.26,2.74,30.8,2,6,5,1,-5.34,5,26.74,9,solution,50.45
CMPD-1279,401.13,2.64,47.84,1,5,6,3,-1.77,200,41.84,8.61,tablet,56.32
CMPD-1280,346,3.5,77.76,1,3,1,3,-3.39,400,34.79,5.26,capsule,41.54
CMPD-1281,394.69,0.95,52.56,4,3,3,0,-3.38,400,26.14,6.27,solution,52.15
CMPD-1282,363.23,2.55,98.07,4,4,9,0,-4.77,100,10.3,7.27,solution,55.08
CMPD-1283,457.89,-1.37,110.94,1,3,6,1,-2.16,200,34.25,7.06,solution,9.7
CMPD-1284,485.24,4.08,95.99,4,1,5,2,-5.2,10,31.17,6.3,capsule,34.01
CMPD-1285,293.54,-0.31,131.66,0,2,4,5,-6.81,10,58.7,8.09,tablet,24.6
CMPD-1286,233.56,5.21,89.55,2,6,3,1,-4.56,10,23.95,5.9,capsule,30.31
CMPD-1287,178.02,1.91,32.41,0,4,11,2,-2.98,200,15.92,6.77,suspension,62.44
CMPD-1288,435.88,2.12,122.72,2,1,6,2,-2.99,50,37.77,6.59,tablet,50.03
CMPD-1289,258.63,1.37,53.82,1,2,3,1,-3.29,100,16.35,7.08,tablet,58.63
CMPD-1290,143.18,1.98,106.86,3,3,7,2,-3.76,5,16.43,7.16,solution,68.71
CMPD-1291,422.74,5.05,130.08,3,3,6,2,-3.26,100,3.13,5.47,tablet,31.5
CMPD-1292,654.23,-1.98,90.98,0,4,2,0,0,400,60.79,3.14,solution,1
CMPD-1293,379.33,4.8,22.63,2,5,4,0,-3.13,10,10.48,5.94,tablet,43.73
CMPD-1294,472.23,3.11,42.86,0,6,5,2,-4.13,200,23.22,6.8,tablet,60.96
CMPD-1295,389,0.33,121.3,2,8,2,2,-3.66,25,5.12,7.1,capsule,37.27
CMPD-1296,369.12,0.56,69.08,1,4,2,0,-3.81,200,14.54,5.76,tablet,32.83
CMPD-1297,481.1,5.52,77.79,3,5,4,3,-3.4,10,16.2,6.85,capsule,17.58
CMPD-1298,348.07,0.8,101.56,2,6,6,3,-4.87,200,45.35,6.82,suspension,38.64
CMPD-1299,409.41,0.42,99.37,1,2,4,4,-2.3,200,122.21,5.7,tablet,33.99
CMPD-1300,415.39,4.55,84.76,2,7,6,2,-3.05,200,35.84,6.3,suspension,49.17
CMPD-1301,306.51,3.11,67.7,3,5,8,2,-4.68,50,69.45,5.06,suspension,41.04
CMPD-1302,489.12,0.81,64.06,3,3,7,3,-1.97,100,19.42,4.15,tablet,42.48
CMPD-1303,360.75,2.89,105.03,0,10,8,4,-6.35,50,48.42,7.97,tablet,38.26
CMPD-1304,296.87,0.65,94.37,1,2,5,1,-0.27,200,57.16,6.74,suspension,67.47
CMPD-1305,439.02,4.48,65.99,4,7,1,2,-0.67,5,5.27,6.09,tablet,47.47
CMPD-1306,281.17,4.41,112.87,3,3,5,1,-0.91,100,21.07,6.96,capsule,57.97
CMPD-1307,383.1,3.46,70.48,1,2,5,5,-4.24,100,23.57,7.06,tablet,49.43
CMPD-1308,379,3.15,45.19,0,2,7,1,-3.14,100,25.53,8.92,solution,63.37
CMPD-1309,499.45,5.67,48.44,4,4,2,5,-4.43,25,35.28,8.11,tablet,13.7
CMPD-1310,432.22,2.5,40.74,1,7,6,2,-2.85,100,25.81,6.92,tablet,44.56
CMPD-1311,377.25,0.37,65.47,3,1,6,2,-3.47,25,32.57,9,tablet,44.66
CMPD-1312,469.95,3.31,118.18,1,3,3,5,-4.19,400,60.92,6.39,tablet,46.62
CMPD-1313,532.92,6.25,46.82,2,5,5,2,-4.21,100,39.95,7.96,tablet,3.34
CMPD-1314,441.36,0.67,81.6,4,5,7,2,-3.38,200,10.68,5.86,capsule,34.09
CMPD-1315,381.14,1.85,52.02,1,3,4,2,0,10,21.44,6.56,capsule,61.69
CMPD-1316,235.7,3.25,65.89,4,2,3,3,-1.54,5,7.13,7.31,tablet,58.52
CMPD-1317,262.84,2.4,22.15,2,2,2,2,-3.37,100,47.96,6.76,tablet,61.44
CMPD-1318,346.43,0.73,67.28,3,6,4,0,-3.77,400,39.96,6.85,solution,49.54
CMPD-1319,312.95,4.52,68.22,4,3,8,1,-2.57,50,22.83,6.8,capsule,47.28
CMPD-1320,359.43,6.68,93.91,5,3,9,2,-4.42,400,27.47,8.06,capsule,1
CMPD-1321,386.23,2.85,82.81,1,3,11,3,-3.84,10,9.22,6.62,capsule,47.04
CMPD-1322,438.27,0.87,33.06,2,3,4,2,-6.43,50,30.02,5.79,solution,44.92
CMPD-1323,372.25,-0.29,112.95,3,3,8,1,-3.36,50,42.59,6.44,tablet,23.14
CMPD-1324,433.52,2.96,82.36,0,4,2,3,-3.33,400,30.6,8.05,suspension,58.82
CMPD-1325,387.09,4.49,81.94,1,1,2,4,-4.32,25,15.44,7.53,solution,43.09
CMPD-1326,162.7,3.36,74.68,2,7,8,0,-2.82,5,42.23,6.37,tablet,55.61
CMPD-1327,276.67,2.5,56.88,0,6,3,1,-3.31,400,44.94,5.57,tablet,56.36
CMPD-1328,364.15,1.44,82.62,2,7,6,1,-4.3,400,36.9,5.84,solution,45.62
CMPD-1329,246.93,0.53,91.65,4,4,6,1,-2.27,50,68.82,6.48,tablet,44.01
CMPD-1330,445.99,4,13.86,3,6,6,2,-3.77,400,42.52,6.4,capsule,45.53
CMPD-1331,548.38,4.14,56.14,2,6,4,3,-5.07,10,14.13,5.62,capsule,25.15
CMPD-1332,514.06,-0.28,66.08,4,4,2,4,-6.14,5,30.66,7.64,tablet,28.31
CMPD-1333,356.52,5.36,83.97,3,5,4,1,-1.35,10,53.1,5.82,capsule,33.75
CMPD-1334,543.98,3.53,116.77,0,4,7,1,-3.31,50,18.1,5.42,tablet,46.72
CMPD-1335,396.35,5.02,47.99,2,6,5,2,-3.37,5,40.43,6.26,tablet,37.02
CMPD-1336,342.92,0.08,57.57,5,2,5,1,-3.57,100,13.56,7.06,capsule,37.35
CMPD-1337,312.53,0.04,57.06,1,6,5,0,-1.67,50,22.44,5.4,tablet,40.71
CMPD-1338,346.73,2.23,46.95,2,7,4,4,-3.29,50,46.5,6.56,tablet,55.34
CMPD-1339,337.3,3.41,62.85,2,5,4,0,-1.18,400,44.41,5.98,tablet,56.5
CMPD-1340,398.75,5.73,101.98,2,2,2,2,-3.28,200,65.43,6.11,tablet,21.71
CMPD-1341,397.66,3.77,38.12,1,5,4,3,-7.51,200,13.81,6.49,tablet,47.57
CMPD-1342,380.34,2.06,89.97,2,4,3,1,-1.6,25,6.17,7.21,tablet,58.32
CMPD-1343,428.06,0.65,15.43,0,6,5,0,-3.03,10,50.84,6.51,capsule,43.46
CMPD-1344,510.97,4.71,55.35,0,3,3,3,-4.26,100,80.84,9,tablet,33.49
CMPD-1345,484.45,0.76,63.47,0,6,6,1,-3.89,5,7.95,7.33,capsule,39.25
CMPD-1346,216.66,5.43,133.62,2,3,8,2,-3.96,50,32.78,6.99,capsule,18.13
CMPD-1347,120,1.99,65.38,5,5,5,1,-5.36,50,2.33,6.14,tablet,41.44
CMPD-1348,482.78,5.36,10,3,5,6,3,-2.18,100,39.04,5.89,tablet,21.59
CMPD-1349,229.64,3.72,10,4,3,2,4,-4.17,50,60.47,7.71,suspension,46.28
CMPD-1350,355.28,2.25,76.19,1,7,7,2,-4.8,400,9.84,4.6,tablet,53.2
CMPD-1351,251.29,1.57,96.48,2,5,4,2,0,10,25.1,7.85,solution,77.18
CMPD-1352,181.78,1.89,88.14,3,0,7,3,-5.23,5,14.68,7.9,tablet,48.36
CMPD-1353,439.56,3.27,80.86,2,2,3,0,-3.63,400,16.46,6.36,tablet,42.34
CMPD-1354,463.51,2.64,115.68,3,6,7,5,-6.95,100,17.23,7.89,tablet,21.37
CMPD-1355,316.58,1.43,56.11,5,4,5,1,-1.62,100,29.89,6.16,capsule,53.58
CMPD-1356,120,2.2,106.32,3,5,4,3,-3.92,200,17.41,6.39,capsule,54.97
CMPD-1357,319.91,2.64,17.88,1,1,7,0,-2.27,25,31.42,7.11,capsule,65.36
CMPD-1358,423.1,-1.33,43.33,2,2,5,3,-4.91,5,39.9,6.06,suspension,14.79
CMPD-1359,217.32,3.32,11.75,1,3,6,3,-5.92,100,26.65,7.36,capsule,49.61
CMPD-1360,400.17,0.74,65.38,2,7,7,3,-4.62,400,34.09,5.94,suspension,35.26
CMPD-1361,378.32,0.42,73.38,1,5,6,1,-1.48,50,45.84,6.83,tablet,50.09
CMPD-1362,443.72,-0.54,78.99,2,6,8,3,-2.63,400,63.91,9,tablet,9.06
CMPD-1363,393.15,-0.73,77.17,1,7,4,0,-5.92,200,40.77,7.08,solution,21.46
CMPD-1364,272.96,0.06,42.54,3,1,7,1,-7.13,5,8.4,7.8,capsule,30.41
CMPD-1365,511.62,1.22,68.34,3,6,5,2,-3.98,10,33.63,7.59,capsule,39.83
CMPD-1366,362.56,6.02,22.59,3,2,5,2,-1.86,100,11.66,4.12,capsule,32.37
CMPD-1367,377,1.55,122.71,0,2,5,1,-4.64,10,23.02,6.39,tablet,52.69
CMPD-1368,277.34,2.82,64.37,0,3,4,1,-1.89,100,2.85,8.14,tablet,55.7
CMPD-1369,331.24,3.22,57.89,1,7,2,2,-3.31,50,22.31,5.08,tablet,52.97
CMPD-1370,282.67,2.74,130.61,1,4,5,1,-0.87,25,7.17,6.29,tablet,58.79
CMPD-1371,360.98,2.36,31.52,4,3,7,2,-4.52,50,13.12,9,tablet,48.34
CMPD-1372,568.29,0.35,35.6,1,4,4,2,-3.59,10,61.24,5.15,tablet,29.31
CMPD-1373,229.09,5.11,36.63,2,2,6,2,-4.48,400,22.16,7.88,capsule,26.9
CMPD-1374,202.51,5.75,72.62,1,1,4,1,-2.02,5,3.81,5.46,tablet,32.31
CMPD-1375,541.83,-0.53,90.11,2,5,3,2,-2.61,400,33.04,7.18,capsule,21.48
CMPD-1376,356.97,0.66,100.89,0,5,2,0,-6.05,200,15.21,7.38,tablet,32.18
CMPD-1377,306.4,2,165.02,4,5,3,1,-2.46,10,24.01,7.47,tablet,44.72
CMPD-1378,494.39,0.76,10,2,4,5,1,-5.73,25,57.18,5.37,suspension,29.09
CMPD-1379,313.38,3.41,96.31,0,1,11,5,-4.87,100,27.02,7.91,tablet,49.39
CMPD-1380,580.86,1.19,55.5,2,3,4,1,-2.38,200,33.16,5.65,solution,51.23
CMPD-1381,454.57,6.4,54.48,3,4,6,1,-5.38,100,13.76,4.62,solution,1.65
CMPD-1382,326.33,4.64,53.31,2,2,8,1,-4.06,10,25.29,5.33,suspension,47.84
CMPD-1383,617.3,2.88,43.19,2,8,8,5,-2.36,5,38.51,5.5,solution,38.64
CMPD-1384,313.37,4.35,133.96,2,5,4,1,-2.88,100,34.49,7.41,solution,53.6
CMPD-1385,461.63,4.49,104.48,0,7,12,1,-2.96,400,4.38,7.72,tablet,42.07
CMPD-1386,412.92,1.48,75.81,0,3,7,2,-2.31,100,7.93,6.68,solution,51.49
CMPD-1387,523.19,1.03,122.29,1,0,1,2,-1.54,200,25.54,5.35,capsule,38.63
CMPD-1388,551.77,2.64,22.06,3,4,1,3,-5.36,25,45.1,5.87,tablet,36.27
CMPD-1389,383.52,4.05,28.43,4,3,7,2,-3,200,17.08,6.4,tablet,39.41
CMPD-1390,297.12,2.75,10,2,4,3,2,-2.05,25,40.13,5.02,tablet,69.96
CMPD-1391,430.6,-0.34,50.52,2,5,4,2,-2.35,400,33.96,5.17,capsule,27.88
CMPD-1392,305.45,1.05,80.66,2,2,2,2,-3.74,5,40.41,6.49,capsule,64.28
CMPD-1393,601.47,2.37,78.6,0,6,3,0,-3.83,100,5.57,6.25,tablet,45.85
CMPD-1394,395.02,2.36,80.23,0,3,8,2,-2.26,50,73.55,5.18,tablet,53.16
CMPD-1395,339.81,6.05,25.61,0,8,4,2,-3.18,10,17.48,8.06,tablet,29.9
CMPD-1396,400.31,0.01,103.11,0,4,10,2,-1.86,200,13.76,5.66,tablet,20.87
CMPD-1397,231.82,3.41,83.39,1,7,4,2,-3.34,100,18.43,5.07,tablet,52.92
CMPD-1398,273.12,5.18,100.66,2,6,3,3,-4.06,10,25.14,8.05,tablet,33.67
